total: x_center=1033.9837646484375, y_center=420.46636962890625, width=272.392333984375, height=202.8717041015625
weak relationship: x_center=368.79620361328125, y_center=1234.74951171875, width=165.37982177734375, height=84.4969482421875
weak relationship: x_center=360.5950927734375, y_center=565.2406005859375, width=171.06768798828125, height=87.7860107421875
weak relationship: x_center=1434.6181640625, y_center=1657.399658203125, width=169.138427734375, height=90.5233154296875
derived attribute: x_center=623.8341064453125, y_center=725.849853515625, width=207.36248779296875, height=113.892822265625
weak relationship: x_center=1567.28515625, y_center=144.74720764160156, width=203.69580078125, height=103.3740234375
total: x_center=1377.4884033203125, y_center=1003.7361450195312, width=288.237548828125, height=158.7886962890625
weak relationship: x_center=643.271484375, y_center=1535.276123046875, width=172.36639404296875, height=90.603759765625
weak relationship: x_center=2006.6064453125, y_center=1384.706787109375, width=187.9527587890625, height=90.2552490234375
weak relationship: x_center=263.57781982421875, y_center=695.5151977539062, width=206.3457794189453, height=114.8795166015625
line: x_center=1225.2144775390625, y_center=383.49920654296875, width=175.570068359375, height=36.2808837890625
weak relationship: x_center=379.42376708984375, y_center=419.7081298828125, width=148.61544799804688, height=76.53170776367188
weak relationship: x_center=1616.787109375, y_center=1667.0648193359375, width=170.4749755859375, height=91.875
relationship: x_center=1105.9639892578125, y_center=1334.6966552734375, width=234.43316650390625, height=34.266357421875
relationship: x_center=489.34918212890625, y_center=987.5263671875, width=134.11447143554688, height=23.66943359375
relationship: x_center=1176.10400390625, y_center=985.8773803710938, width=111.94287109375, height=25.0391845703125
relationship: x_center=811.658935546875, y_center=725.6408081054688, width=157.48468017578125, height=17.70361328125
relationship: x_center=233.699951171875, y_center=1144.921142578125, width=21.688751220703125, height=198.5135498046875
relationship: x_center=335.8651123046875, y_center=1118.5308837890625, width=16.911468505859375, height=149.35888671875
relationship: x_center=1802.60791015625, y_center=1330.02197265625, width=21.34619140625, height=70.6590576171875
relationship: x_center=826.41455078125, y_center=1469.019775390625, width=23.25872802734375, height=64.8292236328125
relationship: x_center=1346.5341796875, y_center=1185.87841796875, width=34.1678466796875, height=189.9097900390625
relationship: x_center=1014.9385986328125, y_center=1081.4736328125, width=20.98028564453125, height=86.52197265625
relationship: x_center=1007.1153564453125, y_center=875.3492431640625, width=23.94342041015625, height=82.3428955078125
relationship: x_center=1216.109130859375, y_center=546.3612060546875, width=336.4195556640625, height=23.91815185546875
relationship: x_center=664.43359375, y_center=587.8609619140625, width=13.43524169921875, height=146.27423095703125
relationship: x_center=624.3818359375, y_center=570.4483032226562, width=11.2564697265625, height=182.048583984375
line: x_center=1786.38134765625, y_center=1082.6248779296875, width=39.1900634765625, height=102.75927734375
line: x_center=1626.547607421875, y_center=1298.6275634765625, width=211.1553955078125, height=28.279296875
relationship: x_center=442.276611328125, y_center=722.7391357421875, width=144.587890625, height=16.63067626953125
relationship: x_center=1397.950439453125, y_center=1506.036865234375, width=15.1192626953125, height=196.7850341796875
relationship: x_center=1930.0894775390625, y_center=1304.124755859375, width=15.843994140625, height=84.220458984375
relationship: x_center=1967.606201171875, y_center=1007.11669921875, width=50.9881591796875, height=20.3907470703125
relationship: x_center=870.765380859375, y_center=978.2347412109375, width=76.58331298828125, height=26.152587890625
relationship: x_center=1362.95263671875, y_center=272.35174560546875, width=16.6832275390625, height=103.58676147460938
relationship: x_center=801.6067504882812, y_center=560.189697265625, width=16.5703125, height=288.0859069824219
relationship: x_center=533.1806640625, y_center=545.0916137695312, width=17.42584228515625, height=287.5976867675781
relationship: x_center=1494.950439453125, y_center=260.11181640625, width=14.556640625, height=127.22659301757812
relationship: x_center=720.1524047851562, y_center=1442.305419921875, width=112.567138671875, height=14.4949951171875
relationship: x_center=1966.1270751953125, y_center=907.7994995117188, width=11.646240234375, height=64.095947265625
relationship: x_center=1494.231689453125, y_center=1449.12890625, width=9.10693359375, height=102.4703369140625
